연번,시도교육청명,행정표준코드,학교명,학교종류명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명
3771,대전광역시교육청,7441111,서대전초등학교,초등학교,공립,34858,대전광역시 중구 선화로 17,(용두동/서대전초등학교),042-255-9937,http://sdjes.djsch.kr,남여공학,042-255-4582,  
3772,대전광역시교육청,7430061,서일고등학교,고등학교,사립,35377,대전광역시 서구 계백로828번길 30,(관저동),042-540-5567,http://seoilhs.djsch.kr,남,042-543-4378,일반고
3773,대전광역시교육청,7430062,서일여자고등학교,고등학교,사립,35377,대전광역시 서구 구봉산북로 22,(관저동/ 서일여자고등학교),042-540-7740,http://seoil-ghs.djsch.kr,여,042-543-7429,일반고
3774,대전광역시교육청,7451053,성덕중학교,중학교,사립,34106,대전광역시 유성구 신성로 19,(신성동/ 성덕중학교),042-861-6705,http://sungdukms.djsch.kr,남여공학,042-863-3253,  
3775,대전광역시교육청,7441112,세천초등학교,초등학교,공립,34501,대전광역시 동구 옥천로 610-12,(세천동/세천초등학교),042-281-3103,http://secheones.djsch.kr/,남여공학,042-274-4921,  
3776,대전광역시교육청,7441036,신탄중앙중학교,중학교,공립,34330,대전광역시 대덕구 덕암로 233,/ 24 (덕암동),042-331-3333,http://sintanjungangms.djsch.kr,남여공학,042-931-1019,  
3777,대전광역시교육청,7430041,신탄진고등학교,고등학교,공립,34308,대전광역시 대덕구 신탄진북로 14,(신탄진동),042-602-3800,http://shintanjinhs.djsch.kr,남여공학,042-933-0273,일반고
3778,대전광역시교육청,7441113,신탄진용정초등학교,초등학교,공립,34307,대전광역시 대덕구 대청로 65,/ 신탄진용정초등학교 (신탄진동),042-932-0182,http://stj-yongjeonges.djsch.kr/main.do,남여공학,042-933-6463,  
3779,대전광역시교육청,7441037,신탄진중학교,중학교,사립,34317,대전광역시 대덕구 석봉로 15,(석봉동/ 신탄진중학교),042-930-0600,http://stjms.djsch.kr/,남여공학,042-931-0452,  
3780,대전광역시교육청,7441114,신탄진초등학교,초등학교,공립,34317,대전광역시 대덕구 석봉로3번길 50,/ 신탄진초등학교 (석봉동),042-366-3220,http://sintanjines.djsch.kr,남여공학,042-366-3234,  
3781,대전광역시교육청,7441038,오정중학교,중학교,공립,34441,대전광역시 대덕구 한남로150번길 135,(오정동/ 오정중학교),042-627-0602,http://ojeongms.djsch.kr,남여공학,042-623-4273,  
3782,대전광역시교육청,7441115,와동초등학교,초등학교,공립,34349,대전광역시 대덕구 신탄진로 189,(신대동/ 와동초등학교),042-627-6566,http://djwadonges.djsch.kr,남여공학,042-627-6568,  
3783,대전광역시교육청,7451121,외삼초등학교,초등학교,공립,34069,대전광역시 유성구 반석동로 63,(반석동/외삼초등학교),042-824-2236,http://oesames.djsch.kr/main.do,남여공학,042-824-2241,  
3784,대전광역시교육청,7430140,우송고등학교,고등학교,사립,34609,대전광역시 동구 동대전로131번길 53,/ 우송고등학교 (자양동),042-620-5200,http://wshs.djsch.kr,남여공학,042-626-0061,일반고
3785,대전광역시교육청,7441039,우송중학교,중학교,사립,34609,대전광역시 동구 동대전로131번길 53,(자양동/ 우송고등학교/우송중학교),042-620-5050,http://woosongms.djsch.kr,남,042-623-0071,  
3786,대전광역시교육청,7430042,유성고등학교,고등학교,공립,34181,대전광역시 유성구 유성대로654번길 130,(구암동/유성고등학교),042-710-6199,http://yshs.djsch.kr,남,042-824-0262,일반고
3787,대전광역시교육청,7430135,유성생명과학고등학교,고등학교,공립,34197,대전광역시 유성구 월드컵대로 270,(구암동/유성생명과학고등학교),042-539-5815,http://ysbsths.djsch.kr/,남여공학,042-822-7923,특성화고
3788,대전광역시교육청,7430064,유성여자고등학교,고등학교,사립,34097,대전광역시 유성구 은구비로138번길 70,/ 유성여자고등학교 (죽동),042-820-1195,http://yuseongghs.djsch.kr,여,042-820-1199,일반고
3789,대전광역시교육청,7451054,유성중학교,중학교,공립,34198,대전광역시 유성구 상대로 33,/ 유성중학교 (상대동),042-822-1605,http://yuseongms.djsch.kr,남여공학,042-825-8049,
3790,대전광역시교육청,7451122,유성초등학교,초등학교,공립,34164,대전광역시 유성구 장대로71번길 12,(장대동/ 유성초등학교),042-822-0310,http://yuseonges.djsch.kr/main.do,남여공학,042-825-3647,  
3791,대전광역시교육청,7441116,장동초등학교,초등학교,공립,34345,대전광역시 대덕구 장동로 223-37,(장동/ 대전장동초등학교),042-623-3004,http://jdes.djsch.kr,남여공학,042-626-5670,  
3792,대전광역시교육청,7441040,중리중학교,중학교,공립,34389,대전광역시 대덕구 중리동로 85,(중리동/ 대전중리중학교),042-620-3015,http://jungnims.djsch.kr,남여공학,042-625-1749,  
3793,대전광역시교육청,7430065,중일고등학교,고등학교,사립,34023,대전 유성구 배울2로 68,(관평동/중일고등학교),042-935-0356,http://jungilhs.djsch.kr,남여공학,042-935-7919,일반고
3794,대전광역시교육청,7451055,진잠중학교,중학교,공립,34231,대전광역시 유성구 진잠로 60-23,(원내동/ 진잠중학교),042-330-8000,http://jinjamms.djsch.kr,남여공학,042-543-2809,  
3795,대전광역시교육청,7451123,진잠초등학교,초등학교,공립,34229,대전광역시 유성구 진잠로59번길 53,/ 진잠초등학교 (원내동/ 진잠초등학교),042-543-3072,http://jinjames.djsch.kr/,남여공학,042-543-5097,  
3796,대전광역시교육청,7430066,청란여자고등학교,고등학교,사립,35051,대전광역시 중구 보문로95번길 40,/ 청란여자고등학교 (부사동),042-253-8842,http://chranhs.djsch.kr,여,042-253-6928,일반고
3797,대전광역시교육청,7441041,청란여자중학교,중학교,사립,35046,대전광역시 중구 보문로 95번길40,(부사동),422538844,http://cheongranms.djsch.kr,여,422536008,  
3798,대전광역시교육청,7430043,충남고등학교,고등학교,공립,35249,대전광역시 서구 문정로 171,(둔산동/충남고등학교),042-488-8013,http://chungnamhs.djsch.kr,남,042-488-8019,자율고
3799,대전광역시교육청,7430073,충남기계공업고등학교,고등학교,공립,34999,대전광역시 중구 산성로 154,(문화동),042-580-2114,http://chungnam-mhhs.djsch.kr/,남,042-586-7700,특성화고
3800,대전광역시교육청,7430044,충남여자고등학교,고등학교,공립,34849,대전광역시 중구 선화로43번길 77,(목동/충남여자고등학교),042-229-3100,http://cnghs.djsch.kr,여,042-257-8444,일반고
3801,대전광역시교육청,7441042,충남여자중학교,중학교,공립,34849,대전광역시 중구 동서대로 1368,(목동/충남여자중학교),042-253-7615,http://chungnam-gms.djsch.kr,여,042-253-9462,  
3802,대전광역시교육청,7441043,충남중학교,중학교,공립,34641,대전광역시 동구 계족로 123,(신흥동/ 충남중학교),042-273-1692,http://chungnamms.djsch.kr,남,042-282-7330,  
3803,대전광역시교육청,7430341,학력인정 대전시립중고등학교,평생학교(고)-2년6학기,사립,34645,대전광역시 동구 동대전로144번길 47,"(자양동, 대전시립중고등학교)",042-250-6700,http://dcmh.djsch.kr/,남여공학,042-633-2878,일반고
3804,대전광역시교육청,7430342,학력인정 대전시립중학교,평생학교(중)-2년6학기,사립,34645,대전광역시 동구 동대전로144번길 47,"(자양동, 대전시립중고등학교)",042-250-6700,http://dcmh.djsch.kr/,남여공학,042-224-2878,
3805,대전광역시교육청,7451124,학하초등학교,초등학교,공립,34212,대전광역시 유성구 진잠옛로 165,/ 학하초등학교 (학하동),042-825-0525,http://hakhaes.djsch.kr,남여공학,042-825-0528,  
3806,대전광역시교육청,7430045,한밭고등학교,고등학교,공립,35277,대전광역시 서구 신갈마로141번길 58,(갈마동/ 한밭고등학교),042-601-6152,http://hanbaths.djsch.kr,남여공학,042-536-6441,일반고
3807,대전광역시교육청,7441044,한밭여자중학교,중학교,공립,34654,대전광역시 동구 동대전로110번길 74-57,/ 한밭여자중학교 (대동),042-623-2373,http://hanbat-gms.djsch.kr,여,042-626-9994,  
3808,대전광역시교육청,7441045,한밭중학교,중학교,공립,34624,대전광역시 동구 태전로 67,/ 한밭중학교 (삼성동),042-620-3950,http://hanbatms.djsch.kr/,남,042-620-3960,  
3809,대전광역시교육청,7451125,한밭초등학교,초등학교,공립,35247,대전광역시 서구 문정로 221,(둔산동),042-486-9195,http://hanbates.djsch.kr,남여공학,042-486-9194,  
3810,대전광역시교육청,7430067,호수돈여자고등학교,고등학교,사립,34859,대전광역시 중구 선화로 50,(용두동/호수돈여자중.고등학교),042-221-2612,http://holstonhs.djsch.kr,여,042-252-0397,일반고
3811,대전광역시교육청,7441046,호수돈여자중학교,중학교,사립,34859,대전광역시 중구 선화로 50,(용두동/호수돈여자중.고등학교),042-221-1676,http://holstonms.djsch.kr/,여,042-221-1677,  
3812,대전광역시교육청,7441047,회덕중학교,중학교,공립,34346,대전광역시 대덕구 신탄진로218번길 22,(와동/ 대전회덕중학교),042-621-3072,http://hoedeokms.djsch.kr,남여공학,042-621-3071,  
3813,대전광역시교육청,7441117,회덕초등학교,초등학교,공립,34360,대전광역시 대덕구 대전로 1350,(읍내동),042-632-9155,http://hoedeokes.djsch.kr,남여공학,042-632-9159,  
3814,대전광역시교육청,7451126,흥도초등학교,초등학교,공립,34195,대전광역시 유성구 원신흥남로 20,(원신흥동/ 흥도초등학교),042-822-5083,http://heungdoes.djsch.kr,남여공학,042-823-8945,  
3815,울산광역시교육청,7491245,가온중학교,중학교,공립,44509,울산광역시 중구 구교10길 60,(반구동/ 가온중학교),052-294-5340,http://usgm.ms.kr/,남여공학,052-292-2584,
3816,울산광역시교육청,7501038,강남초등학교,초등학교,공립,44692,울산광역시 남구 중앙로166번길 51,(달동/ 강남초등학교),052-220-6300,http://www.kangnam.es.kr,남여공학,052-268-1814,  
3817,울산광역시교육청,7480237,강동고등학교,고등학교,공립,44264,울산광역시 북구 화암4길 8,(산하동/ 강동고등학교),052-901-7010,http://gang-dong.hs.kr ,남여공학,052-901-7098,일반고
3818,울산광역시교육청,7491148,강동중학교,중학교,공립,44264,울산광역시 북구 산음12길 10,(산하동/ 강동중학교),052-295-0010,http://kangdong.ms.kr,남여공학,052-295-5675,  
3819,울산광역시교육청,7491093,강동초등학교,초등학교,공립,44264,울산광역시 북구 화암4길 5,(산하동/ 강동초등학교),052-295-9939,http://kang-dong.es.kr,남여공학,052-295-4782,  
3820,울산광역시교육청,7501039,개운초등학교,초등학교,공립,44774,울산광역시 남구 두왕로 106,/ 28-6 (선암동),052-240-9700,http://www.gaeun-us.es.kr/,남여공학,052-257-1784,  
3821,울산광역시교육청,7501040,격동초등학교,초등학교,공립,44662,울산광역시 남구 문수로344번길 4,(옥동/격동초등학교),052-227-5721,http://uskd.es.kr,남여공학,052-227-5708,  
3822,울산광역시교육청,7491238,고헌중학교,중학교,공립,44236,울산광역시 북구 박상진2로 81,(화봉동/ 고헌중학교),052-901-8000,http://school.use.go.kr/goheon-m/M01/,남여공학,052-901-8098,
3823,울산광역시교육청,7491219,고헌초등학교,초등학교,공립,44236,울산광역시 북구 화동로 129,/ 고헌초등학교 (송정동/ 초등학교),052-282-0020,http://goheon.es.kr,남여공학,052-282-7030,
3824,울산광역시교육청,7501025,구영중학교,중학교,공립,44923,울산광역시 울주군 범서읍 점촌3길 46,(범서읍/ 구영중학교),052-711-2400,http://guyeong.ms.kr,남여공학,052-245-6644,  
3825,울산광역시교육청,7501069,구영초등학교,초등학교,공립,44924,울산광역시 울주군 범서읍 점촌1길 10,/ 구영초등학교 (범서읍/ 구영초등학교),052-270-3500,http://www.guyeong.es.kr/,남여공학,052-211-8182,  
3826,울산광역시교육청,7501070,굴화초등학교,초등학교,공립,44933,울산광역시 울주군 범서읍 굴화3길 30,(범서읍),052-223-3167,http://www.gulhwa.es.kr,남여공학,052-223-3162,  
3827,울산광역시교육청,7480124,남목고등학교,고등학교,공립,44010,울산광역시 동구 방어진순환도로 1200,(서부동/남목고등학교),052-965-7009,http://nammok.hs.kr,남여공학,052-236-0786,일반고
3828,울산광역시교육청,7491149,남목중학교,중학교,공립,44016,울산광역시 동구 방어진순환도로 1155,(서부동/ 남목중학교),052-710-4051,http://nammok.ms.kr,남여공학,052-708-7081,  
3829,울산광역시교육청,7491094,남목초등학교,초등학교,공립,44008,울산광역시 동구 옥류로 33,(서부동/ 남목초등학교),052-235-7952,http://nammok.es.kr/,남여공학,052-235-3604,  
3830,울산광역시교육청,7501041,남산초등학교,초등학교,공립,44648,울산광역시 남구 거마로 17,(옥동),052-267-2267,http://uns.es.kr,남여공학,052-267-0660,  
3831,울산광역시교육청,7491150,남외중학교,중학교,공립,44496,울산광역시 중구 남외3길 50,(남외동/남외중학교),052-710-4112,http://school.use.go.kr/namoe-m,남여공학,052-707-2505,  
3832,울산광역시교육청,7491095,남외초등학교,초등학교,공립,44496,울산광역시 중구 남외3길 40,(남외동/ 남외초등학교),052-285-5300,http://www.namoe.es.kr/,남여공학,052-285-5303,  
3833,울산광역시교육청,7480023,남창고등학교,고등학교,공립,44973,울산광역시 울주군 온양읍 태화7길 43-16,/ 남창고등학교 (온양읍),052-238-3412,http://namchang.hs.kr,남여공학,052-238-3414,일반고
3834,울산광역시교육청,7501028,남창중학교,중학교,공립,44975,울산광역시 울주군 온양읍 동상로 66,/ 남창중학교 (온양읍),052-239-0625,http://namchang.ms.kr,남여공학,052-239-0626,  
3835,울산광역시교육청,7491096,내황초등학교,초등학교,공립,44503,울산광역시 중구 내황13길 53,/ 내황초등학교 (반구동),052-297-6072,http://naehwang.es.kr,남여공학,052-281-0903,
3836,울산광역시교육청,7491097,녹수초등학교,초등학교,공립,44018,울산광역시 동구 봉수로 545,/ 녹수초등학교 (서부동/ 녹수초등학교),052-235-6615,http://noksu.es.kr,남여공학,052-252-4544,  
3837,울산광역시교육청,7491098,농서초등학교,초등학교,공립,44205,울산광역시 북구 가재길 57,(달천동/ 농서초등학교),052-295-5449,http://www.nongseo.es.kr,남여공학,052-295-1980,  
3838,울산광역시교육청,7491151,농소중학교,중학교,공립,44225,울산광역시 북구 호계7길 13,(호계동/ 농소중학교),052-295-5011,school.use.go.kr/nongso-m/,남여공학,052-295-5285,
3839,울산광역시교육청,7491099,농소초등학교,초등학교,공립,44229,울산광역시 북구 호계로 192,(호계동/농소초등학교),052-295-4011,http://www.nongso.es.kr,남여공학,052-295-5171,  
3840,울산광역시교육청,7480126,다운고등학교,고등학교,공립,44403,울산광역시 중구 다운로 180,(다운동/ 다운고등학교),052-710-5400,http://www.daun.hs.kr/,남여공학,052-249-5700,일반고
3841,울산광역시교육청,7491152,다운중학교,중학교,공립,44403,울산광역시 중구 다운로 178,(다운동/ 다운중학교),052-710-3001,http://daun.ms.kr,남여공학,052-225-3060,  
3842,울산광역시교육청,7491100,다운초등학교,초등학교,공립,44409,울산광역시 중구 다운8길 5,(다운동/ 다운초등학교),052-224-4023,www.daun.es.kr,남여공학,052-224-0741,
3843,울산광역시교육청,7491101,다전초등학교,초등학교,공립,44403,울산광역시 중구 다운로 176,(다운동/다전초등학교),052-710-5773,http://www.dajeon.es.kr,남여공학,052-249-2292,  
3844,울산광역시교육청,7480135,달천고등학교,고등학교,공립,44205,울산광역시 북구 달천철장길 23,(달천동/ 달천고등학교),052-707-7011,http://dalcheon.hs.kr,남여공학,052-281-7018/7019,일반고
3845,울산광역시교육청,7491153,달천중학교,중학교,공립,44205,울산광역시 북구 가재길 51,(달천동/ 달천중학교),052-710-4900,http://dalchun.ms.kr,남여공학,052-294-3230,  
3846,울산광역시교육청,7480069,대송고등학교,고등학교,공립,44054,울산광역시 동구 봉수로 210,(화정동/ 대송고등학교),052-236-2920,http://www.daesong.hs.kr,남여공학,052-236-4892,일반고
3847,울산광역시교육청,7491154,대송중학교,중학교,공립,44054,울산광역시 동구 학문로 90,(화정동/ 대송중학교),052-236-3740,http://daesong-us.ms.kr,남,052-236-3743,  
3848,울산광역시교육청,7480093,대현고등학교,고등학교,공립,44751,울산광역시 남구 수암로 164,/ 대현고등학교 (야음동/ 야음교육단지),052-271-8954,http://daehyun.hs.kr,남,052-269-2253,일반고
3849,울산광역시교육청,7501009,대현중학교,중학교,공립,44704,울산광역시 남구 왕생로86번길 33,(달동/ 대현중학교),052-267-7725,http://www.daihyun.ms.kr,남여공학,052-265-5912,  
3850,울산광역시교육청,7501042,대현초등학교,초등학교,공립,44736,울산광역시 남구 수암로 165-3,(야음동/대현초등학교),052-220-1500,daehyun.es.kr,남여공학,052-220-1578,  
3851,울산광역시교육청,7501075,덕신초등학교,초등학교,공립,45003,울산광역시 울주군 온산읍 서영남1길 27,"(온산읍, 덕신초등학교)",052-238-1294,http://www.duksin.es.kr,남여공학,052-238-1690,  
3852,울산광역시교육청,7501043,도산초등학교,초등학교,공립,44758,울산광역시 남구 번영로54번길 25,(야음동/ 도산초등학교),052-210-1500,http://i-ds.es.kr,남여공학,052-271-2392,  
3853,울산광역시교육청,7491102,동대초등학교,초등학교,공립,44220,울산광역시 북구 신천로 36,(신천동/ 동대초등학교),052-963-5001,http://dongdae-us.es.kr,남여공학,052-297-7773,  
3854,울산광역시교육청,7501044,동백초등학교,초등학교,공립,44725,울산광역시 남구 신정로 6,(달동/ 동백초등학교),052-227-6438,http://usdb.es.kr,남여공학,052-227-6215,  
3855,울산광역시교육청,7491103,동부초등학교,초등학교,공립,44004,울산광역시 동구 남목13길 23,(동부동/ 동부초등학교),052-252-0775,http://usdongbu.es.kr/,남여공학,052-236-4882,  
3856,울산광역시교육청,7491104,동천초등학교,초등학교,공립,44203,울산광역시 북구 고래로 26,(천곡동/ 동천초등학교),052-286-2711,http://dongchun-us.es.kr,남여공학,052-286-4204,
3857,울산광역시교육청,7501010,동평중학교,중학교,공립,44725,울산광역시 남구 도산로77번길 13-34,(달동/동평중학교),052-272-7924,http://www.dp.ms.kr,남여공학,052-269-6715,  
3858,울산광역시교육청,7501045,동평초등학교,초등학교,공립,44725,울산광역시 남구 도산로77번길 13-14,(달동/ 동평초등학교),052-261-2371,www.dp.es.kr,남여공학,052-261-2372,  
3859,울산광역시교육청,7501029,두광중학교,중학교,공립,44911,울산광역시 울주군 두서면 반구대로 1930-5,(두서면),052-264-6012,http://www.dukwang.ms.kr/,남여공학,052-262-6986,  
3860,울산광역시교육청,7501076,두동초등학교,초등학교,공립,44915,울산광역시 울주군 두동면 대밀길 29,/ 두동초등학교 (두동면),052-283-6400,http://dudong.es.kr,남여공학,052-262-8559,  
3861,울산광역시교육청,7501077,두서초등학교,초등학교,공립,44912,울산광역시 울주군 두서면 인보로 87,(두서면/ 두서초등학교),052-262-6071,http://duseo.es.kr,남여공학,052-262-6856,  
3862,울산광역시교육청,7501246,두왕초등학교,초등학교,공립,44776,울산광역시 남구 테크노산업로82번길 17,(두왕동),052-915-7200,http://duwang.es.kr,남여공학,052-915-7230,
3863,울산광역시교육청,7480199,매곡고등학교,고등학교,공립,44223,울산광역시 북구 매산로 45,/ 매곡고등학교 (매곡동),052-290-5910,http://www.maegok.hs.kr,남여공학,052-296-4422,일반고
3864,울산광역시교육청,7491155,매곡중학교,중학교,공립,44218,울산광역시 북구 매곡1로 59,(매곡동/ 매곡중학교),052-286-5644,http://maegok.ms.kr,남여공학,052-282-6050,  
3865,울산광역시교육청,7491105,매곡초등학교,초등학교,공립,44218,울산광역시 북구 매곡1로 49,(매곡동/ 매곡초등학교),052-710-4474,http://www.umg.es.kr,남여공학,052-282-5068,  
3866,울산광역시교육청,7491181,매산초등학교,초등학교,공립,44223,울산광역시 북구 매산로 53,(매곡동/ 매산초등학교),052-291-9032,https://school.use.go.kr/maesan-e,남여공학,052-291-9041,
3867,울산광역시교육청,7480054,메아리학교,특수학교,사립,44213,울산광역시 북구 갓안1길 8,(중산동),052-295-2696,http://www.meary.sc.kr,남여공학,052-295-4322,
3868,울산광역시교육청,7491156,명덕여자중학교,중학교,공립,44054,울산광역시 동구 학문로 40,/ 명덕여자중학교 (화정동/ 명덕여자중학교),052-252-1638,http://www.myung-duk.ms.kr,여,052-235-7797,  
3869,울산광역시교육청,7491106,명덕초등학교,초등학교,공립,44054,울산광역시 동구 진성14길 15,/ 명덕초등학교 (일산동),052-252-0124,http://myeongdeok-us.es.kr,남여공학,052-235-2990,  
3870,울산광역시교육청,7501078,명산초등학교,초등학교,공립,45012,울산광역시 울주군 서생면 화산발리로 60,(서생면/ 명산초등학교),052-238-5567,http://mes.es.kr/,남여공학,052-238-2086,  
3871,울산광역시교육청,7491107,명정초등학교,초등학교,공립,44437,울산광역시 중구 명난로 115,(태화동/ 명정초등학교),052-247-1065,https://school.use.go.kr/mj-e/M01,남여공학,052-247-1125,  
3872,울산광역시교육청,7491108,명촌초등학교,초등학교,공립,44254,울산광역시 북구 명촌10길 11,/ 명촌초등학교 (명촌동/명촌초등학교),052-289-9582,http://myeongchon.es.kr,남여공학,052-289-9584,
3873,울산광역시교육청,7480107,무거고등학교,고등학교,공립,44619,울산광역시 남구 대학로1번길 17-28,(무거동/ 무거고등학교),052-277-9123,http://www.mugeo.hs.kr,남여공학,052-277-9229,일반고
3874,울산광역시교육청,7501011,무거중학교,중학교,공립,44619,울산광역시 남구 대학로1번길 17-18,(무거동/ 무거중학교),052-710-5300,http://www.mugeo.ms.kr,남여공학,052-223-1364,
3875,울산광역시교육청,7501079,무거초등학교,초등학교,공립,44932,울산광역시 울주군 범서읍 장검1길 46,(범서읍/ 무거초등학교),052-249-8290,http://muge.es.kr,남여공학,052-249-8222,  
3876,울산광역시교육청,7480070,무룡고등학교,고등학교,공립,44248,울산광역시 북구 사청1길 30,(연암동/ 무룡고등학교),052-920-3300,http://muryong.hs.kr,남여공학,052-289-0260,일반고
3877,울산광역시교육청,7491157,무룡중학교,중학교,공립,44479,울산광역시 중구 화합로 456,무룡중학교 (약사동),052-293-3824,http://mr.ms.kr/,남여공학,052-292-6812,
3878,울산광역시교육청,7491109,무룡초등학교,초등학교,공립,44474,울산광역시 중구 약사로 50,(약사동/ 무룡초등학교),052-292-3141,http://www.muryong.es.kr,남여공학,052-292-3147,  
3879,울산광역시교육청,7480088,문수고등학교,고등학교,공립,44620,울산광역시 남구 울밀로 2905,(무거동/ 문수고등학교),052-277-0041,http://munsu.hs.kr,남여공학,052-277-0042,일반고
3880,울산광역시교육청,7501012,문수중학교,중학교,공립,44615,울산광역시 남구 옥현로 6,(무거동/ 문수중학교),052-277-8701,http://usms.ms.kr/,남여공학,052-277-8703,  
3881,울산광역시교육청,7501211,문수초등학교,초등학교,공립,44959,울산광역시 울주군 청량읍 청송길 85-4,(청량읍),052-249-9319,https://school.use.go.kr/munsu-e/,남여공학,052-224-4724,
3882,울산광역시교육청,7480108,문현고등학교,고등학교,공립,44105,울산광역시 동구 화잠7길 25,(방어동/ 문현고등학교),052-201-6901,http://www.mun-hyun.hs.kr,남여공학,052-201-6903,일반고
3883,울산광역시교육청,7491110,문현초등학교,초등학교,공립,44104,울산광역시 동구 꽃바위6길 25,(방어동/ 문현초등학교),052-233-9846,http://www.munhyeon.es.kr/,남여공학,052-233-9858,  
3884,울산광역시교육청,7491111,미포초등학교,초등학교,공립,44054,울산광역시 동구 진성15길 35,(일산동),052-235-6153,http://www.mipo.es.kr,남여공학,052-235-4844,  
3885,울산광역시교육청,7501080,반곡초등학교,초등학교,공립,44935,울산광역시 울주군 언양읍 언동3길 42-3,/ 반곡초등학교 (언양읍),052-263-6162,https://school.use.go.kr/bangok-e,남여공학,052-264-6711,  
3886,울산광역시교육청,7501081,반천초등학교,초등학교,공립,44936,울산광역시 울주군 언양읍 샘소3길 19,(언양읍/ 반천초등학교),052-264-9422,http://banchon.es.kr,남여공학,052-264-6693,  
3887,울산광역시교육청,7501082,방기초등학교,초등학교,공립,44955,울산광역시 울주군 삼남읍 하방로 56,/ 방기초등학교 (삼남읍/ 방기초등학교),052-912-2200,http://bangkee.es.kr,남여공학,055-372-1896,  
3888,울산광역시교육청,7480024,방어진고등학교,고등학교,공립,44054,울산광역시 동구 학문로 50,(화정동/ 방어진고등학교),052-230-3100,www.bangeojin.hs.kr,남여공학,052-252-3660,일반고
3889,울산광역시교육청,7491158,방어진중학교,중학교,공립,44054,울산광역시 동구 학문로 100,(화정동/방어진중학교),052-235-8553,https://school.use.go.kr/bangjung-m,남여공학,052-251-4095,  
3890,울산광역시교육청,7491112,방어진초등학교,초등학교,공립,44097,울산광역시 동구 꽃바위로 341,(방어동/ 방어진초등학교/ 방어진초등학교병설유치원),052-251-2052,https://school.use.go.kr/bangeojin-e/M01 ,남여공학,052-235-4513,
3891,울산광역시교육청,7491113,백양초등학교,초등학교,공립,44417,울산광역시 중구 성안8길 10-5,(성안동/ 백양초등학교),052-210-6000,https://school.use.go.kr/baekyang-e/M01/,남여공학,052-201-6199,
3892,울산광역시교육청,7501046,백합초등학교,초등학교,공립,44709,울산광역시 남구 돋질로339번길 16,(삼산동),052-228-7900,http://www.paekhap.es.kr,남여공학,052-228-7909,  
3893,울산광역시교육청,7480125,범서고등학교,고등학교,공립,44920,울산광역시 울주군 범서읍 대리로 69,(범서읍/ 범서고등학교),052-711-2500,school.use.go.kr/beomseo-h,남여공학,052-243-3800,일반고
3894,울산광역시교육청,7501026,범서중학교,중학교,공립,44922,울산광역시 울주군 범서읍 대리1길 16,(범서읍),052-946-7227,www.beomseo.ms.kr,남여공학,052-946-7297,  
3895,울산광역시교육청,7501083,범서초등학교,초등학교,공립,44927,울산광역시 울주군 범서읍 천상1길 7,(범서읍/ 범서초등학교),052-211-8044,http://www.beomseo.es.kr,남여공학,052-248-9825,  
3896,울산광역시교육청,7491114,병영초등학교,초등학교,공립,44485,울산광역시 중구 병영성13길 2,(서동/ 병영초등학교),052-292-7398,http://www.by.es.kr,남여공학,052-297-5422,  
3897,울산광역시교육청,7491115,복산초등학교,초등학교,공립,44478,울산광역시 중구 도화골15길 15,(복산동/ 복산초등학교),052-245-1202,http://www.boksan.es.kr,남여공학,052-243-0107,  
3898,울산광역시교육청,7501030,삼남중학교,중학교,공립,44953,울산광역시 울주군 삼남읍 강당로 95,(삼남읍),052-710-4316,https://school.use.go.kr/isamnam-m,남여공학,052-708-7094,  
3899,울산광역시교육청,7501247,삼남초등학교,초등학교,공립,44951,울산광역시 울주군 삼남읍 울산역2길 43,(삼남읍/ 삼남초등학교),052-263-5700,www.ussamnam.es.kr,남여공학,052-263-5702,
3900,울산광역시교육청,7501085,삼동초등학교,초등학교,공립,44956,울산광역시 울주군 삼동면 삼동로 788,(삼동면),052-264-1175,http://www.samdong-us.es.kr,남여공학,052-264-3350,  
3901,울산광역시교육청,7480096,삼산고등학교,고등학교,공립,44709,울산광역시 남구 돋질로339번길 13,(삼산동/ 삼산고등학교),052-271-9939,http://ussamsan.hs.kr,남여공학,052-271-9949,일반고
3902,울산광역시교육청,7501047,삼산초등학교,초등학교,공립,44711,울산광역시 남구 남중로108번길 19,(삼산동/ 삼산초등학교),052-260-3615,http://www.samsan.es.kr,남여공학,052-260-4735,  
3903,울산광역시교육청,7501048,삼신초등학교,초등학교,공립,44701,울산광역시 남구 돋질로251번길 25,(삼산동/ 삼신초등학교),052-268-1230,http://www.samshin.es.kr,남여공학,052-268-1231,
3904,울산광역시교육청,7491116,삼일초등학교,초등학교,공립,44481,울산광역시 중구 동천5길,09월 18일,052-294-0568,http://samil-us.es.kr,남여공학,052-294-0566,  
3905,울산광역시교육청,7501086,삼정초등학교,초등학교,공립,44961,울산광역시 울주군 청량읍 삼정로 36,/ 삼정초등학교 (청량읍),052-277-4254,http://samjeong.es.kr,남여공학,052-277-4257,
3906,울산광역시교육청,7501087,삼평초등학교,초등학교,공립,45008,울산광역시 울주군 온산읍 삼평길 200,(온산읍),052-239-4097,http://samp.es.kr/,남여공학,052-238-0798,
3907,울산광역시교육청,7501013,삼호중학교,중학교,공립,44641,울산광역시 남구 삼호로38번길 6,(무거동),052-277-3687,http://samho-us.ms.kr,남여공학,052-224-0096,  
